,title,author,day,genre,story,score,platform
218,별을 삼킨 너에게,ARI,목,"스토리, 로맨스","어둠 같은 현실 속에서도 우리가 빛나는 이유는, 저마다의 별을 품고 있어서가 아닐까? 별처럼 빛나는 우리들의 성장, 그리고 로맨스. 네이버웹툰 최강자전 19년 대표작.",9.915,네이버 웹툰
219,선의의 경쟁,송채윤 / 심재영,목,"스토리, 드라마",완벽해보이는 제이와 순박한 전학생 슬기. 단짝이 된 두 여고생은 점차 서로를 향한 광기를 드러내고 전교 1등을 향한 피 튀기는 경쟁이 펼쳐진다.,9.915,네이버 웹툰
220,마법사랑해,명랑 / 청설모,목,"스토리, 판타지","대륙에서 가장 위대한 마법사 랑데르케셀 . 목숨을 희생하여 파멸의 군주 페르샤디스 를 봉인하는데 성공하지만 6개의 성물로 나뉘어 봉인되어 있던 마왕이 부활의 움직임을 보이자, 600년간의 긴 잠에서 소년 랑해 의 모습으로 깨어나게 되는데...",9.937,네이버 웹툰
221,완벽한 결혼의 정석,"이범배, 영 / 제리볼",목,"스토리, 로맨스","남편이 내 동생을 사랑하고 있었다. 하필이면 내 생일에 그의 진심을 알아버렸고, 그날 나는 죽었다. 그런데 1년 전으로 돌아왔다? 다시 살게 된 그날, 나는 결심했다. 이번에는 내가 동생의 남자와 결혼하기로. 남은 시간은 1년, 그때까지 완벽한 복수를 해야 하는데 그런데 이 남자, 너무 완벽하다. 계약 결혼의 상대인 재벌 2세 서도국. 그의 눈빛에, 그의 입술에 자꾸만 아찔해진다. 나, 어떡하지 ?",9.92,네이버 웹툰
222,어느날 네가 떠올라!,해영채,목,"스토리, 로맨스",내 세계가 너로 인해 조금씩 무거워 지고 있어. 학급 아이들에게 공기 취급을 받는 여고생 가람. 겉보기에는 완벽하지만 정말로 몸무게가 0 인 비밀을 숨기고 있는 남고생 산들. 어느 날 산들은 실수로 넘어지는 바람에 가람 앞에서 하늘로 떠오르게 된다. 산들의 비밀을 알게 된 뒤 잔잔했던 가람의 일상은 조금씩 어긋나며 변화하기 사작하는데..!,9.95,네이버 웹툰
223,시에라,Rana / 문아,목,"스토리, 로맨스","비슷한 이유로 태어나 비슷한 이유로 불행했던 공작가의 사생아 시에라 와 황제의 사생아 클로드 . 아무에게도 말할 수 없는 관계를 유지하던 두사람에게 불행이 찾아온다. 다시 시간을 되돌릴 수 있다면, 다른 선택을 할 수 있게 해 줘 밀려오는 후회를 감당하지 못하는 시에라, 눈을 떠보니 그녀의 옆에는 클로드가 있는데",9.9,네이버 웹툰
224,꽃만 키우는데 너무강함,쿰타타 / 주현후,목,"스토리, 판타지","황재호는 자신의 꿈인 꽃집을 차리기 위해 게임을 시작하게 되는데, 게임 속에서 꽃집을 운영하기 위한 재호의 긴 여정이 시작된다",9.96,네이버 웹툰
225,폭탄주먹 변대장,엄재경 / 지야프,목,"스토리, 개그","전 우주의 문제아들이 모이는 곳, 안드로메다 고등학교에 지구인 신입생이 도착한다. 주인공은 바로 변대장. 옮기는 학교마다 터지는 폭력 사건으로 지구상 모든 고등학교를 거쳐 더 이상 갈 곳이 없어진 변대장은, 결국 안드로 고등학교로 전학 오게 되는데... 초능력 외계인이 득실대는 야성의 정글, 안드로 고등학교에서 변대장은 살아남을 수 있을 것인가!? 목표는 졸업! 변대장의 모험이 시작된다!",9.443,네이버 웹툰
226,만물의 영장,보민,목,"에피소드, 개그","바다에 빠져 실종된 후, 무인도에서 7년 만에 살아 돌아온 우영장의 좌충우돌 문명 적응기! 그의 몸은 단단한 근육질로 변했고 온갖 동물과의 의사소통은 물론, 특별한 능력까지 구사하며 사건사고가 끊이질 않는다. 과연 영장은 밀림보다 무섭다는 도시에서 살아남을 수 있을까?",9.955,네이버 웹툰
227,안개무덤,김태영,목,"스토리, 스릴러","실종된 가족을 수사하려고 하면 할수록, 알 수 없는 초자연 현상에 시달린다. 사건 현장을 뒤덮는 벌레들. 그리고 부적. 이곳은 무덤이다. 지상최대공모전 우수상 수상작! 숨막히는 공포 스릴러가 왔다!",9.933,네이버 웹툰
228,불편한 관계,잔스,목,"스토리, 로맨스","회사 동료 정이라 와 공은도 는 서로의 이별을 위로하며 술자리를 갖고 다음날 아침 함께 눈을 뜬다. 하루 아침에 동료에서 불편한 관계 로 전락한 두 사람! 어젯밤, 우리 사이에 무슨 일이?!",9.982,네이버 웹툰
229,네가 죽기를 바랄 때가 있었다,아란,목,"스토리, 로맨스","끔찍하게 싫어하는 원수의 딸과 결혼하게 된 황제, 절대 좋아할 수 없다 생각했던 황후에게 예상치 못한 감정을 느끼게 된다.",9.87,네이버 웹툰
230,시월드 판타지,진돌 / 히디,목,"스토리, 판타지","첫 눈에 반한 남편이 악마라니.... 그리고 시어머니는 마왕?! 0 용사 조라세, 시댁의 찐 마왕과 목숨을 건 ? 대결이 시작된다.",9.965,네이버 웹툰
231,마계인섬,초,목,"스토리, 판타지","용이산다 초 작가의 새로운 일상판타지! 10년 전, 대한민국 바다에 갑자기 나타난 마왕의 성 . 두려움의 대상이었던 그 곳은 매직랜드 로 불리며 세계적인 테마파크가 된다. 인간들의 우려와는 달리, 그곳을 운영하는 마왕 퀴록 과 마족들은 평화로운 공존을 위해 노력하며 살아가고 있다. 그러던 어느 날 그들의 평화로운 매직랜드에 변화가 찾아오는데 !",9.857,네이버 웹툰
232,로그아웃,임목원,목,"옴니버스, 스릴러","인간이 상상하기 힘든 신기술들이 개발되고 욕망을 충족해가는 사람들... 인류에게 주어진 선물일까, 저주일까",9.613,네이버 웹툰
233,롤랑롤랑,자유,목,"스토리, 판타지",코기 왕자 롤랑과 마녀 루이사의 모험 이야기. 베일에 숨겨져 있던 대사제의 과거와 교단의 비밀이 드디어 밝혀지는데...,9.966,네이버 웹툰
234,길티액스,정샛별,목,"스토리, 판타지","눈앞의 불의를 외면하는 순간, 반드시 불행한 사람이 생긴다. 정의로운 소년 단태는 친구를 구하다가 죽었다. 그때 함께 나타난 죄 라고 불리는 괴물. 하지만 죽은 줄 알았던 단태에게 주어진 선택지. 이대로 천국으로 갈 것인가, 죄를 쳐죽이고 사람들을 구할 것인가? 단태의 처절한 단죄 액션 판타지.",9.715,네이버 웹툰
235,"그 개, 만두",호정,목,"스토리, 드라마","자네 만두는 개도 안 먹을 걸세! 산골 마을에 파리만 날리는 만둣가게 주인 공 씨. 모두에게 외면받던 그를 위로해준 건 거리에서 만난 떠돌이 강아지였으니, 귀엽고 비범한 강아지 만두와 다정한 공 씨가 들려주는 동화 같은 이야기!",9.974,네이버 웹툰
236,달의 요람,이정선,목,"스토리, 드라마","낯선 나라 유안에 끌려온 멸망국의 포로, 월영. 황궁에서 만난 건 가국을 멸망시킨 유안의 장군 연오와 대 유안 제국의 황제였다. 궁녀에서 황귀비로, 가장 낮은 곳에서 가장 높은 곳으로 거침없이 오르는 월영의 잔혹한 궁중로맨스가 시작된다.",3.704,네이버 웹툰
237,그 황제가 시곗바늘을 되돌린 사연,화영 / 용끄,목,"스토리, 로맨스","황후 리지가 숨을 거둔 뒤에야 황제 레온은 자신의 어리석음을 깨닫고 후회했지만 이미 시곗바늘은 지나갔다. 레온의 소원으로 시계탑의 마녀는 레온이 황후 리지를 처음 만나던 날로 시곗바늘을 되돌리고, 과거로 돌아간 레온에게 남은 일은 오직 리지를 행복하게 해주는 일 뿐... 하지만, 되돌린 시곗바늘의 영향력은 생각하는 것 이상으로 컸는데... 과연 레온은 리지를 행복하게 해 줄 수 있을까?",9.972,네이버 웹툰
238,성스러운 아이돌,스튜디오M / 악사,목,"스토리, 드라마","만인의 사랑을 받는 신의 대리자이자 성스러운 대신관인 렘브러리. 이세계를 침공한 마왕과 맞서 싸우다 정신을 차려보니, 대한민국 듣보 아이돌의 몸으로 깨어나 버렸다..! 그는 무사히 아이돌 생활에 적응하고 원래의 세계로 돌아갈수 있을까?",9.979,네이버 웹툰
239,루커피쳐,효정,목,"스토리, 로맨스","어려서부터 동화 삽화가를 꿈꾸던 지수. 꿈을 이루기 위해 자퇴를 하고 할머니 댁으로 간 지수는 그곳에서 도원을 만나게 된다. 꿈이 없어 고민이던 도원은 꿈을 위해 노력하는 지수에게 관심이 가는데... 잡으려 할수록 멀게만 느껴지는 꿈, 언젠가는 꿈에 닿을 날이 올까요?",9.972,네이버 웹툰
240,겟라이프,MOOHAK,목,"스토리, 판타지","그 것은... 소년들을 빛나게 하기도, 고통스럽게 하기도 하였다. 축복과 혼돈의 힘 라이프 ! 이를 둘러싼 음모와 대전쟁의 시작.",9.864,네이버 웹툰
241,어차피 남편은!,찡나,목,"스토리, 로맨스","연애만 했다 하면 남자친구가 사고, 도박, 바람, 잠수 등 온갖 사건을 만들어 패가망신 당하는 연 홍 . 왜 이런가 관상을 봤더니, 이미 지나간 인연 중에 남편이 있다고?! 전남친을 다시 찾아가야 한다는 건가? 평생 같이할 한 사람을 찾고 싶은 홍이의 남편감 찾기!",9.949,네이버 웹툰
242,집사레인저,현실안주형,목,"스토리, 액션",거대 괴수 냥이?! 도시 하나 파괴하는건 일도 아닌 고양이들이 세상을 지배한다. 2019 지상최대공모전 2기 대상 수상작!,9.941,네이버 웹툰
243,야만의 시대,신의철 / 장대현,목,"스토리, 액션","에서 나와 똑같이 생긴 사람을 발견했다! 과거도 미래도 없이 막 나가던 내 인생과 달리 부잣집 모범생으로 모든 걸 가진 듯 보이는 그 녀석은 혹시, 보육원에서 자란 내가 존재조차 몰랐던 쌍둥이?! 녀석을 찾아 시작부터 꼬여버린 인생의 실타래를 풀어보려는 찰나, 엄청난 트러블이 생기고 만다. 문명 사회로 포장되어 있지만, 인간 윤리와 도덕의 마지노선을 넘은 야만의 시대에 던져진 청춘들의 이야기",9.89,네이버 웹툰
244,소년의 기록,베어리,목,"스토리, 드라마","소년은 중학교에 입학하게 되고 주변 친구들과 선생님들의 영향을 받으며 살아간다. 1학년 때 친구들과 놀기 좋아하던 밝은 소년은 2학년으로 진학하면서 사춘기를 맞이하게 되고 신체적, 정신적으로 많은 변화를 겪게 된다. 축구선수가 꿈이었던 소년은 만화가의 꿈을 키우게 되고 그 과정에서 여러 번 넘어지고 눈물과 좌절을 반복하지만 아픔을 딛고 다시 일어서며 꿈과 함께 어른으로 성장해간다.",9.751,네이버 웹툰
245,유리와 유리와 유리,요엔,목,"스토리, 로맨스","금속공예학과 새내기 이유리는 자신의 고백을 거절했던 미술학원 선생님 권유리를 마주친다. 그리고 같은 과의 또다른 동명이인, 무뚝뚝하기로 소문난 차유리 선배는 유독 이유리에게 도움을 주는 일이 많아지는데... 세 명의 유리가 만들어 나가는 삼각관계 캠퍼스 로맨스!",9.98,네이버 웹툰
246,돌아온 여기사,이하린 / 하늘미르,목,"스토리, 로맨스","평범한 백작가 영애로 살아가던 이레나 . 그녀의 가문은 반왕 파벨루크 로 인해 하룻밤 만에 숙청당하고 만다. 가족의 복수를 위해 냉혹한 기사로 살아가던 그녀는 무슨 이유에서인지 과거로 되돌아가게 되었다. 가족을 끝까지 지키기 위해선 지난 생에서는 죽었던 황태자 칼라일 을 살려야 한다! 낮에는 레이디, 밤에는 검을 든 기사로 바쁘게 오가는 이레나. 이번에는 미래를 바꿀 수 있을까?!",9.893,네이버 웹툰
247,온새미로,여우 / 사문,목,"스토리, 로맨스","배우 지망생 해리는 특집 드라마 무영탑 오디션 준비를 위해 방문한 국립 부여 박물관에서 신비로운 분위기의 백제 유물 금동대향로 에 이끌린다. 해리로 인해 금동대향로 속에 갇혀 있던 천신의 아들 온새미로 가 깨어나고, 멈춰져 있던 인연의 굴레가 다시 움직이기 시작한다.",9.919,네이버 웹툰
248,온실 속 화초,옛사람,목,"스토리, 드라마","성공한 덕후 옛사람 작가의 미스터리 시트콤 신작! 호텔 였던 남매는 하루아침에 집안이 망해 길거리로 나앉는다. 그들은 보물이 가득하다는 숲속의 성에 대한 소문을 듣게 되고, 그 성으로 떠나기로 한다. 비밀스러운 땅굴을 통해 겨우 찾아간 성에는 남자도 반하게 하는 극강미모의 미스터리한 왕자가 살고 있었다. 어딘가 스산한 분위기인데 성 밖으로 나가는 출구가 사라져버렸다?! 온실 속 화초 처럼 살아왔던 그들의 독립과 사랑을 찾아가는 이야기!",9.962,네이버 웹툰
249,혼모노트,민수상,목,"스토리, 판타지","평온했던 ? 교실 안에 갑자기 트럭이 날아 오더니, 순식간에 반 아이들은 이세계로 순간 이동을 한다. 갑자기 등장한 괴생명체에 친구들은 하나, 둘 목숨을 잃어가고 이 위기를 구원할 사람은 이 이야기의 창조자 덕구 뿐이다. 노트를 찢는 순간, 현실이 된다.",8.597,네이버 웹툰
250,평범한 낙원,후드새,목,"스토리, 스릴러",학교에서 매일 괴롭힘당하는 현서운은 하굣길에 이상한 시선을 느낀다. 그리고 다음 날 자신을 괴롭히던 일진이 시체로 발견되는데... 이제 평범한 학교생활을 할 수 있을 줄 알았지만 이게 끝이 아니었다. 점점 드리우는 이상한 시선의 정체. 누군가 나를 계속 지켜보고 있다! 평범함을 향한 평범하지 않은 미스터리 스릴러.,9.875,네이버 웹툰
251,카루나,강호진,목,"스토리, 판타지",지옥의 군대와 맞서는 항마승병 카루나. 카루나에 도전하는 소년액션 모험 판타지!,9.769,네이버 웹툰
252,밤하늘에 구름운,견지 / 그리온,목,"스토리, 로맨스","망겜 검풍 온라인 의 초낙운, 서윤의 평범했던 일상에 등장!? 와의 좌충우돌 로맨스 지상최대공모전 1기 우수상 수상 작품",9.937,네이버 웹툰
253,멸망X초이스,텐,목,"스토리, 판타지","수능 날의 간절한 마음이 통한 건지, 정답을 알려주는 능력을 가지게 된 서준. 이 능력으로 즐거운 대학생활, 창창한 앞날만 있다고 생각했는데 갑자기 나타난 멸망의 신 앙골모아가 모든 걸 엉망진창으로 만들기 시작한다. 지구 멸망만큼은 안돼! 과연 서준은 지구와 자신의 안위를 지켜낼 수 있을 것인가?",9.915,네이버 웹툰
254,바른탕진 프로젝트,점삼,목,"에피소드, 드라마","10년 전 실종된 아버지로부터 현금 10억을 받은 나영. 출처모를 거금은 굴러들어온 복이라기보단 골칫덩이인데... 그리고 이 돈을 노리는 바람난 남편과 망할 인간들!! 한 푼도 못줘! 이 돈은 내가 혼자 다 쓴다! 하지만 평생을 일에 바치며 워커홀릭으로 살아온 나영에게 회사 밖의 일은 모든게 어렵기만 하고 지름신의 화신, 이 시대 최후의 욜로 부하직원 도준희 24세는 나영의 10억 탕진 프로젝트를 돕겠다고 발벗고 나서게 되는데...",9.159,네이버 웹툰
255,헬프미,철준,목,"에피소드, 스릴러",심부름 앱을 통한 살인범의 심부름으로 인해 할머니가 살해당했다... 할머니를 살해한 녀석의 행방을 쫓기 위해서는 심부름의 배후를 찾아야한다!,9.794,네이버 웹툰
256,보물과 괴물의 도시,이을,목,"스토리, 판타지","그 지진사고 날 부터 내 눈에 괴물들이 보여. 빠르게 변해가는 도시에서, 사라져가던 거리의 유물들이 인간에게 들러붙기 시작했다.",9.939,네이버 웹툰
257,모어 라이프,이아영,목,"스토리, 로맨스","모두가 두 개의 목숨을 가진 세계! 태어날 때부터 목숨이 하나였던 영하는 늘 주변의 걱정과 과보호 속에 자랐다. 대학생이 된 후 어렵사리 카페 알바에 도전한 영하, 그곳에서 본인보다 더 평범하지 못한 주희를 만나게 되는데... 목숨이 두 개인 세계에서 평범하지 못한 두 남녀의 목숨이 걸린 로맨스!",9.935,네이버 웹툰
258,THE 런웨이,도미 / 녹두,목,"스토리, 로맨스","하룻밤을 같이 보낸 그 남자가 내 상사라고?! 패션지 의 에디터 유지안. 그녀는 약혼자의 양다리 소식에 무작정 파리로 떠난다. 그곳에서 우연히 만난 남자와 충동적으로 하룻밤을 보내 버리고 3개월의 시간이 흐른 후, 지안의 회사에 만렙의 편집장이 프랑스에서 오게 된다. 그런데 그 남자 바로 지안과 하룻밤을 보낸 프랑스에서의 그 남자다!!",7.79,네이버 웹툰
259,외모지상주의,박태준,금,"스토리, 드라마",못생기고 뚱뚱하다고 괴롭힘을 당하며 루저 인생만 살아온 내가 잘생겨졌다는 이유로 인싸가 됐다. 어느 날 자고 일어났더니 갑자기 완벽한 외모와 몸을 지닌 사람이 되어 깨어난다면?,9.582,네이버 웹툰
260,갓 오브 하이스쿨,박용제,금,"스토리, 판타지","전국, 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다. 허구 100 막장 액션의 끝!! 기대하시라!!!",8.896,네이버 웹툰
261,나 혼자 만렙 뉴비,"메슬로우,WAN.Z / 스윙뱃",금,"스토리, 판타지","게임 너튜버로 활동 중인 주인공 진혁은 유일하게 시련의 탑 의 엔딩을 봤지만, 게임의 인기가 하락하며 더 이상 게임 너튜버로서의 삶도 유지하기 힘들어진다. 엔딩을 보았기에 이대로 게임을 마무리하려는 진혁. 바로 그날, 시련의 탑 은 현실이 되었다. 게임의 모든 요소를 다 알고 있는 진혁은 누구보다 빠르게 모든 것을 차지한다! 진짜 고인물이 뭔지 보여주지.",9.596,네이버 웹툰
262,데드퀸,김규삼,금,"스토리, 판타지","절망에 빠져 죽음이 임박했을때, 진짜 여왕이 재림한다! 하이브 세계관의 장대한 끝, 데드퀸",9.961,네이버 웹툰
263,유미의 세포들 외전 : 프로 직장인,이동건,금,"스토리, 로맨스","유미의 세포들 드라마화 기념 특별외전. 대한국수 회사원 시절 유미의 숨겨진 이야기! 직장인 스킬을 자유자재로 사용하며 살아남는 업무력 만렙 김유미. 어느 날 나타난 한 신입사원 앞에서는 이상하게 스킬이 발동되지 않는다. 전남친과 이름이 똑같은 그 남자, 우기.",9.95,네이버 웹툰
264,1초,시니 / 광운,금,"스토리, 드라마","구조율 100 의 전설적인 소방관. 그의 특별한 능력은 긴장하는 순간, 미래가 보인다는 것! 촌각을 다투는 진짜 소방관들의 이야기",9.9,네이버 웹툰
265,죽지 않으려면,파래 / 임진국,금,"스토리, 액션",고등학생 임다준은 학교에서 늘상 괴롭힘을 당하는 게 일상이었다. 삶을 포기하기 직전 우연히 본 티비 속 동급생 살해범의 인터뷰에 감명을 받고 복수를 결심하게 된다. 복수는 성공했지만 삶은 원치않는 방향으로 흘러가게 되고.. 학교에서 나온 임다준은 범상치않은 가출팸에 들어가게 된다. 가출청소년 임다준은 더이상 학교 안 일진들에게 시달리지 않게 되었지만 그보다 잔혹한 길거리의 양아치들을 상대로 살아남아야만 한다. 삶의 끝자락에 내몰린 고등학생 임다준의 길거리 생존기!,9.93,네이버 웹툰
266,개를 낳았다,이선,금,"스토리, 드라마",사랑스러운 너와의 첫 만남부터 이별까지. 서툰 주인과 강아지 명동이가 함께 성장해나가는 이야기.,9.958,네이버 웹툰
267,광마회귀,"유진성, JP / 이히",금,"스토리, 액션","무공에 미친 광마 이자하. 그는 마교 교주의 천옥을 훔쳐 쫓기던 중 벼랑에서 떨어지게 된다. 모든 게 끝났다고 생각한 순간 눈을 떠보니, 사람들에게 무시당하던 점소이 시절로 돌아와 있는데... 게다가 억울한 누명으로 두들겨 맞고 객잔은 박살이 나 있는 상황. 점소이 시절로 회귀한 광마! 사내는 다시 미치게 될 것인가? 아니면 사내의 적들이 미치게 될 것인가.",9.932,네이버 웹툰
268,서울역 드루이드,"진설우, 문성호 / 활성곰",금,"스토리, 판타지","이세계로 사라진 뒤 천 년 만에 지구로 귀환한, 박수호. 그 사이 세상은 몬스터의 등장으로 철저한 약육강식의 세상으로 변해 있었다. 천 년 동안 처절한 생존경쟁으로 살아남은 동물의 왕 드루이드, 세계 정복에 나서다. 이제부터 이 구역의 지배자는 나다.",9.603,네이버 웹툰
269,식인귀,선택길,금,"스토리, 스릴러",주식 사기를 당해 전 재산을 날리고 취업 실패로 어렵게 살아가고 있던 최광식. 공포 컨텐츠 방송으로 돈을 벌게 해준다는 친구의 권유로 함께 폐교로 향하게 되고 그곳에서 이상한 물건을 만진 뒤로 그의 눈에 귀신들이 보이기 시작한다. 영혼을 먹는 식인귀들의 먹잇감이 된 최광식은 도망치다 우연히 퇴마사들의 도움을 받고 목숨을 구하게 되지만 여전히 식인귀들은 그의 영혼을 노리고 있는 상황. 최광식은 살아남기 위해서 어쩔 수 없이 퇴마사들을 따라가게 되고 불편한 동행을 시작하게 된다.,9.863,네이버 웹툰
270,말년용사,후딩 / 신마니,금,"스토리, 판타지",전역하기 3일 전 어이없는 사고로 죽어버린 말년 병장. 갑자기 이세계로 떠나라는 현실을 받아들이지 못하고 난리를 치다 맨몸으로 이세계에 떨어지는 벌을 받게 된다. 말년 병장의 눈물겨운 밀리터리 생존 판타지!,9.796,네이버 웹툰
271,세기말 풋사과 보습학원,순끼,금,"스토리, 로맨스","어릴 때 알던 재수없던 놈이 더 재수없는 놈이 되어 돌아왔다! 중3 황미애의 옆 빌라에 어릴 때 잠깐 시골에서 봤던 김철이 이사 와 같은 학교 같은 반이 되고 철이와 미애 라 놀림 받자 김철은 미애를 불쾌해하며 피한다. 너만 불쾌한 줄 알아? 나쁜 놈! 미애는 속이 상하지만 그럼에도 자꾸 이상한 우연으로 계속 엮이며 트러블이 발생, 결국 둘은 크게 마음이 상하고 서로 더 이상 아는 척 하지 않으려 한다. 맨날 화만내는 김철과, 황미애 인생에 처음 만나는 이상한 친구들까지 엮이게 되며 미애는 사춘기를 정통으로 겪게 되는데.... 치즈인더트랩 순끼 작가의 신작!",9.989,네이버 웹툰
272,여성전용헬스장 진달래짐,유기,금,"스토리, 드라마",숨쉬기 운동만 해본 직장인의 인생 최초 헬스 도전기! 계나리는 저렴한 가격임에도 꽤나 좋은 옥탑방으로 이사오게 된다. 그러나 알고 보니 그 방은 아래층 여성 전용 헬스장과 비밀 계단으로 이어져 있었다. 헬스장 관장이자 집주인 진달래는 리모델링으로 전세금을 다 써버린 상태. 돌려줄 전세금을 모을 동안 계나리에게 3개월간 무료 를 제안하는데..!,9.684,네이버 웹툰
273,더 게이머,성상영 / 상아,금,"스토리, 판타지","이유도 모른 채 현실이 게임처럼 뒤바뀐다면 어떻게 될까? 레벨이 오르고, 스테이터스를 올릴 수 있다면? 게임이 되어 버린 현실 속 모험기!",7.38,네이버 웹툰
274,구남친이 내게 반했다,강하다 / 희똑,금,"스토리, 로맨스",10년을 잊지 못한 첫사랑 구남친과 원수 같은 구남친을 한 오피스에서 만나버렸다. 독자님은 딸기파 초코파?! 팽팽하고 달달한 삼각 로맨스!,9.89,네이버 웹툰
275,상남자,도가도,금,"스토리, 액션","천상천하유아독존, 최고의 샐러리맨 한유현. 모든 것을 잃고 회귀하여 삶을 재설계한다!",9.974,네이버 웹툰
276,플레이어,박종석 / 오현준,금,"스토리, 액션",베댓 공약으로 어쩌다 웹툰 속 주인공이 되었다!,9.951,네이버 웹툰
277,걸어서 30분,이온도,금,"스토리, 로맨스","은하학원 위성은과 지구봉의 귀갓길 로맨스. 세상 가장 설레는 시간, 걸어서 30분",9.904,네이버 웹툰
278,성경의 역사,최경민 / 영모,금,"스토리, 드라마","모두에게 사랑 받기에 모두가 증오하는 그녀, 성경 . 원치않는 애정과 증오속에 성경의 대학 생활은 꼬여만 간다. 사랑해, 성경아.",9.082,네이버 웹툰
279,그들이 사귀는 세상,율로,금,"스토리, 로맨스","비연애를 선언한 그날, 세울의 인생에 한 번도 없었던 세 명의 남자가 눈 앞에 나타난다. 꿈에 그리던 이상형, 평생 친구일 줄 알았던 남사친, 그리고 현실적인 조건이 우수한 소개팅남까지 한꺼번에 등장한다. 세울은 과연 자신의 비연애에 대한 신념을 끝까지 지켜나갈 수 있을까?",9.971,네이버 웹툰
280,히어로 킬러,꿀벌 / 벌꿀,금,"스토리, 액션","전쟁은 빌런들의 패배로 막을 내렸다. 이제 세상은 부패한 히어로들이 지배하고 있다. 그리고, 그런 히어로들 중 하나가 이화의 언니를 죽였다. 언니를 죽인 게 누구인지는 모르지만 상관없다. 한 놈씩 죽이다 보면 그중에 있을 테니까. 이화는 매일 밤 영웅들을 사냥하는 빌런, 히어로 킬러가 된다. 한 악당의 지독한 액션 활극. 모조리 죽이고, 빼앗아 주마!",9.952,네이버 웹툰
281,환상의 용,꼬마비,금,"에피소드, 드라마",어느 대학 만화전공 교수로 재직 중인 나에겐 어린 시절 잊을 수 없는 친구가 한 명 있다. 그의 이름은 바로 용이. 여러면에서 또래와 남달랐던 친구 용이를 기억하면 할수록 그의 존재가 신비롭게 느껴져 나는 용이를 백방으로 찾아보지만 궁금증을 더할 경이로운 이야기만 추가로 전해져 올 뿐이다.,9.946,네이버 웹툰
282,A.I. 닥터,"한산이가, ZAINO / 쿠큐",금,"스토리, 드라마","태화 그룹이 미래를 걸고 개발한 진단 목적 . . 바루다! 내과 레지던트 1년 차 이수혁은 바루다를 견학하던 중 원인 모를 폭발에 휘말려 정신을 잃고 만다. 그리고 다시 정신을 차렸을 때 그는 자신의 머릿속에 존재하는 . . 바루다를 마주한다. 이미 절대 떨어질 수 없는 사이가 되어 버린 둘. 딥러닝을 계속해 세계 최고의 진단 인공지능이 되는 것이 목적인 바루다와 어려운 환경에서도 악착같이 출세를 위해 노력해 온 수혁, 그들은 의기투합해 환자를 치료해 나가며 세계 최고의 내과 의사를 목표로 활동을 개시한다.",9.966,네이버 웹툰
283,빨간맛 로맨스,사지현 / 서루,금,"스토리, 로맨스","내 첫사랑은 빨간 맛이었다. 너만 보면 심장이 두근거리는 것도, 하루 종일 네 생각이 나는 것도, 네 작은 것 하나까지 점점 더 신경 쓰이는 것도 전부 정말 단지 네 피가 달콤하기 때문일까?",9.942,네이버 웹툰
284,네버엔딩달링,울리,금,"스토리, 스릴러","남자친구의 집에서 죽어있는 나를 발견했다. 복제산업으로 생명 연장이 가능한 시대. 취준생 윤하임은 이 기술을 만든 남자친구 지근후와 연애 중이다. 어느 날, 하임은 우연히 그의 집에서 자신의 시체를 발견하고, 자신이 복제되고 있다는 것을 알아버렸다. 끊임없이 죽고, 복제 당하는 반복으로부터 벗어날 수 있을까?",9.931,네이버 웹툰
285,가슴털 로망스,갸오오,금,"스토리, 개그",최고의 상남자가 되기 위한 여행을 떠나는 장호풍과 친구들 명언범벅 눈물범벅 의리범벅 개그만화!,9.951,네이버 웹툰
286,그 기사가 레이디로 사는 법,성혜림 / Ink.,금,"스토리, 판타지","가장 가까운 친우이자 믿었던 부관의 검이 내 몸을 관통했다. 다시 눈을 떴을 땐 적국의 귀족 레이디가 되어있었다. 낯설고 연약한 타인의 몸과 잃어버린 3년의 세월, 그 사이에 망해버린 나의 조국. 배신의 아픔과 정체성의 혼란으로 정신을 차릴 수가 없었다. 그러나 나는 결국 살아가기로 했다. 루시펠라 아이딘으로써, 검을 든 귀족 레이디로서.",9.965,네이버 웹툰
287,감자마을,박지독,금,"스토리, 개그",감자 청년이 펼치는 격정막장 작물드라마! 감자마을에 살고 있는 주인공 한감자는 꿈을 이루기 위해 감자마을을 떠난다. 하지만 감자마을 밖은 고난과 역경 그 자체. 마을을 떠나자마자 예상치 못한 살인 사건에 휘말리며 위험에 처하게 된다. 과연 한감자는 무사히 살아남아 다시 감자마을로 돌아갈 수 있을 것인가?,9.957,네이버 웹툰
288,엽사:요괴사냥꾼,삼박,금,"스토리, 액션","전쟁과 요괴가 들끓는 난세의 시대. 부모에게 버림받고, 생계를 위해 약초꾼 일을 하며 살아온 소년 오석. 어느 날 도적의 꾀임에 넘어가 요괴에게 자신의 몸을 뺏길 뻔한다. 순간적인 기지와 요괴사냥꾼인 엽사의 도움으로 살아난 오석. 하지만 그의 몸 속에는 아직 요괴가 숨어있는 상태! 요괴를 꺼내줄 수 있는 사람을 찾아 마을을 떠나게 되는데..",4.888,네이버 웹툰
289,버그: 스티그마,해마 / 송지형,금,"스토리, 판타지","3차 세계대전이 일어났다! 최강의 연금술사와 그로 인해 태어난 초능력자들의 액션 판타지! 세상에 생긴 오류 이야기 시즌2, 버그 스티그마",9.616,네이버 웹툰
